code,name,code
20MICRONS,20 MICRONS,20MICRONS
21STCENMGM,21ST CENTURY MANAGEMENT SERVICES,21STCENMGM
3IINFOTECH,3I INFOTECH,3IINFOTECH
3MINDIA,3M INDIA,3MINDIA
3PLAND,3P LAND HOLDINGS,3PLAND
5PAISA,5PAISA CAPITAL,5PAISA
63MOONS,63 MOONS TECHNOLOGIES,63MOONS
8KMILES,8K MILES SOFTWARE SERVICES,8KMILES
A2ZINFRA,A2Z INFRA ENGINEERING,A2ZINFRA
A2ZMES,A2Z MAINTENANCE & ENGINEERING SERVICES,A2ZMES
AANJANEYA,AANJANEYA LIFECARE,AANJANEYA
AARTIDRUGS,AARTI DRUGS,AARTIDRUGS
AARTIIND,AARTI INDUSTRIES,AARTIIND
AARVEEDEN,AARVEE DENIMS & EXPORTS,AARVEEDEN
ABAN,ABAN OFFSHORE,ABAN
ABB,ABB INDIA,ABB
ABBOTINDIA,ABBOTT INDIA,ABBOTINDIA
ABCAPITAL,ADITYA BIRLA CAPITAL,ABCAPITAL
ABCIL,ADITYA BIRLA CHEMICALS (INDIA),ABCIL
ABFRL,ADITYA BIRLA FASHION AND RETAIL,ABFRL
ABGSHIP,ABG SHIPYARD,ABGSHIP
ABHISHEK,ABHISHEK CORPORATION,ABHISHEK
ABIRLANUVO,ADITYA BIRLA NUVO,ABIRLANUVO
ABMINTLTD,ABM INTERNATIONAL,ABMINTLTD
ACC,ACC,ACC
ACCELYA,ACCELYA KALE SOLUTIONS,ACCELYA
ACE,ACTION CONSTRUCTION EQUIPMENT,ACE
ACKRUTI,ACKRUTI CITY,ACKRUTI
ACROPETAL,ACROPETAL TECHNOLOGIES,ACROPETAL
ADANIENT,ADANI ENTERPRISES,ADANIENT
ADANIGREEN,ADANI GREEN ENERGY,ADANIGREEN
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE,ADANIPORTS
ADANIPOWER,ADANI POWER,ADANIPOWER
ADANITRANS,ADANI TRANSMISSION,ADANITRANS
ADFFOODS,ADF FOODS,ADFFOODS
ADHUNIK,ADHUNIK METALIKS,ADHUNIK
ADHUNIKIND,ADHUNIK INDUSTRIES,ADHUNIKIND
ADI,ADI FINECHEM,ADI
ADLABS,ADLABS ENTERTAINMENT,ADLABS
ADORWELD,ADOR WELDING,ADORWELD
ADROITINFO,ADROIT INFOTECH,ADROITINFO
ADSL,ALLIED DIGITAL SERVICES,ADSL
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA),ADVANIHOTR
ADVANTA,ADVANTA,ADVANTA
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES,ADVENZYMES
